x_surface,y_surface,z_surface,x_eef,y_eef,z_eef,err_angle
-0.010618411,-0.040336342,0.999129736,-0.035113795,-0.015757651,0.999259084,1.988315003
-0.0113349,-0.038058146,0.999211238,-0.035052244,-0.015060725,0.999271992,1.892926986
-0.011086742,-0.038270356,0.999205917,-0.038771268,-0.014282798,0.999146031,2.098926367
-0.011069567,-0.037978054,0.99921726,-0.037578512,-0.013866146,0.999197471,2.053273281
-0.010699476,-0.03728611,0.99924735,-0.030433635,-0.012727653,0.999455752,1.805208448
-0.010826397,-0.037406865,0.99924147,-0.035056242,-0.014799262,0.999275759,1.898809144
-0.009595099,-0.036564563,0.999285228,-0.036430335,-0.018209358,0.999170281,1.862905788
-0.009433322,-0.03703153,0.999269572,-0.035611208,-0.016433289,0.999230598,1.908623238
-0.009198975,-0.036705152,0.999283799,-0.035627694,-0.015693267,0.999241907,1.934601611
-0.009128386,-0.035913921,0.999313196,-0.036034492,-0.015981308,0.999222755,1.91864784
-0.009202071,-0.035489801,0.999327672,-0.035159677,-0.01422689,0.999280437,1.922626919
-0.008613858,-0.035515177,0.999332014,-0.035394013,-0.014977108,0.999261202,1.933766175
-0.007744168,-0.035072418,0.999354769,-0.035913501,-0.017610831,0.999199719,1.89902708
-0.008351149,-0.036003618,0.999316765,-0.03531401,-0.016984719,0.999231925,1.890604755
-0.008156482,-0.035616786,0.999332235,-0.034960242,-0.016037722,0.999260013,1.901915845
-0.008332508,-0.035257038,0.99934354,-0.035145152,-0.015576069,0.999260829,1.905777919
-0.009366965,-0.035741529,0.999317168,-0.034443415,-0.012565708,0.999327651,1.956514894
-0.008833116,-0.035060313,0.999346161,-0.034987901,-0.014624333,0.999280729,1.901846636
-0.008264136,-0.034406011,0.999373769,-0.036090838,-0.01751836,0.999194955,1.865101826
-0.009876789,-0.035536855,0.999319559,-0.036100247,-0.016844142,0.999206208,1.845235252
-0.00970265,-0.034744769,0.999349118,-0.03600039,-0.016585421,0.999214139,1.831170062
-0.009746071,-0.034584063,0.99935427,-0.034884081,-0.014545327,0.999285512,1.842007388
-0.010262509,-0.034684697,0.999345612,-0.035054474,-0.015040567,0.999272218,1.812415193
-0.010352594,-0.03497162,0.999334683,-0.035073698,-0.015070406,0.999271094,1.818434737
-0.01048178,-0.035160214,0.999326719,-0.035075529,-0.014329913,0.999281923,1.846707842
-0.010570698,-0.035783833,0.999303646,-0.035465982,-0.016919669,0.999227646,1.789717791
-0.010878389,-0.035763612,0.999301068,-0.034887412,-0.01456547,0.999285102,1.835149374
-0.011070019,-0.035767389,0.999298828,-0.035197406,-0.015059814,0.999266904,1.821808188
-0.011211672,-0.036016362,0.999288307,-0.033635898,-0.012351309,0.99935783,1.868035419
-0.012002938,-0.037840569,0.9992117,-0.033084406,-0.012036651,0.999380078,1.909249395
-0.011852149,-0.037275099,0.999234754,-0.033947498,-0.013596857,0.999331123,1.855679845
-0.012261995,-0.037596367,0.999217772,-0.036146093,-0.0172989,0.999196781,1.795944606
-0.012409851,-0.037944932,0.999202771,-0.034893387,-0.015488147,0.999271019,1.820803806
-0.012215585,-0.037103725,0.999236755,-0.034530501,-0.014352136,0.999300586,1.826001587
-0.012988784,-0.036623254,0.999244729,-0.035477974,-0.015265334,0.999253863,1.777094547
-0.013260795,-0.035035901,0.999298072,-0.041731271,-0.015179511,0.999013555,1.988952824
-0.01402109,-0.036167433,0.99924738,-0.031638537,-0.013455371,0.999408803,1.646987272
-0.013659287,-0.035899409,0.999262056,-0.035330883,-0.016211207,0.999244177,1.677646392
-0.013768077,-0.035873367,0.999261498,-0.035156822,-0.016606466,0.999243826,1.649431378
-0.014060175,-0.035990341,0.999253225,-0.034665984,-0.015228353,0.999282926,1.676057181
-0.014320092,-0.035740506,0.999258501,-0.034334405,-0.014080782,0.999311203,1.689771136
-0.014665331,-0.035359934,0.999267033,-0.038829957,-0.012768684,0.999164248,1.895446298
